iter	Passed	Remaining
881	1143	153
882	1144	151
883	1146	150
884	1147	149
885	1148	147
886	1149	146
887	1150	145
888	1152	143
889	1153	142
890	1154	141
891	1156	139
892	1157	138
893	1158	137
894	1159	135
895	1160	134
896	1161	133
897	1162	132
898	1163	130
899	1163	129
900	1164	127
901	1166	126
902	1167	125
903	1168	124
904	1169	122
905	1170	121
906	1171	120
907	1172	118
908	1173	117
909	1174	116
910	1175	114
911	1177	113
912	1178	112
913	1179	110
914	1180	109
915	1181	108
916	1182	107
917	1183	105
918	1184	104
919	1185	103
920	1186	101
921	1187	100
922	1188	99
923	1189	97
924	1190	96
925	1191	95
926	1192	93
927	1193	92
928	1194	91
929	1195	89
930	1196	88
931	1197	87
932	1198	86
933	1199	84
934	1201	83
935	1202	82
936	1203	80
937	1204	79
938	1205	78
939	1206	77
940	1207	75
941	1208	74
942	1209	73
943	1211	71
944	1212	70
945	1213	69
946	1214	67
947	1215	66
948	1216	65
949	1217	64
950	1218	62
951	1219	61
952	1220	60
953	1221	58
954	1222	57
955	1223	56
956	1223	54
957	1224	53
958	1225	52
959	1226	51
960	1227	49
961	1228	48
962	1229	47
963	1230	45
964	1231	44
965	1233	43
966	1234	42
967	1235	40
968	1236	39
969	1237	38
970	1237	36
971	1239	35
972	1239	34
973	1240	33
974	1241	31
975	1242	30
976	1243	29
977	1244	27
978	1245	26
979	1246	25
980	1247	24
981	1248	22
982	1248	21
983	1249	20
984	1250	19
985	1251	17
986	1252	16
987	1253	15
988	1254	13
989	1255	12
990	1256	11
991	1257	10
992	1258	8
993	1259	7
994	1260	6
995	1261	5
996	1262	3
997	1263	2
998	1264	1
999	1265	0
